;$I_{2928}$;$I_{3355}$;$I_{3725}$;$\overline{I}_{3800\text{–}2500}$;$\Sigma I_{p,\ 3800\text{–}2500}$;$\overline{I}_{2928 \pm 50}$;$\overline{I}_{3355 \pm 50}$;$\overline{I}_{3725 \pm 50}$;Split;Fraction_hue;Fraction_grouped_hue;Class
division_10_size_bulk;0.3731175354986714;1.0;5.543367841802371e-05;0.4829934918443402;1.3731729691770893;0.3776386663573415;0.9731936018877365;0.013721528142621987;Test;$> 0$;$d > 5$;2
division_10_size_70;0.4507762248466581;1.0;0.0016601319932912;0.4892449572534648;1.4524363568399492;0.4392935333979822;0.9964201600237068;0.011953466674830908;Train;$< 70$;$d > 5$;2
division_10_size_50;0.3592856127199241;1.0;0.0008489163378844;0.4737741535428641;1.3601345290578084;0.36481576389938764;0.9719323587908527;0.012704004782428014;Train;$< 50$;$d > 5$;2
division_10_size_25;0.339358212940776;1.0;0.0003590405757853;0.4667137243643333;1.3397172535165613;0.3466737825242409;0.9660125858149303;0.012165217984716694;Train;$< 25$;$d > 5$;2
division_10_size_5;0.9573441486899636;0.9341615801775796;0.0811198707668065;0.7137192267981296;1.9726255996343498;0.9330158525953054;0.9398947671059789;0.06944497589494142;Test;$< 5$;$2 < d \leq 5$;1
division_10_size_4;0.8314982867588935;1.0000000000000002;0.0654421850288016;0.5668622056461988;1.8969404717876954;0.7831289117959817;0.9447881405711321;0.0386464822349665;Train;$< 4$;$2 < d \leq 5$;1
division_10_size_3;1.0000000000000002;0.9799810388272414;0.09015965454350008;0.5745915340907165;2.0701406933707416;0.9134376311216946;0.9058669336691445;0.06492923734230052;Test;$< 3$;$2 < d \leq 5$;1
division_10_size_2.5;1.0;0.9250597632402832;0.0466499199773262;0.6679306211965802;1.9717096832176093;0.9628675644646941;0.8004585088460332;0.041388861114891234;Train;$< 2.5$;$2 < d \leq 5$;1
division_10_size_2;1.0;0.7663920582161913;0.0197763785057961;0.4791346668330464;1.7861684367219872;0.8919244952404305;0.6765072130361763;0.022921948402749304;Train;$< 2$;$d \leq 2$;0
division_10_size_0.4;1.0;0.441991346846258;0.0955666217272876;0.5484394467044577;1.5375579685735457;0.9321755540697375;0.46411670761265167;0.07093004817548668;Train;$< 0.4$;$d \leq 2$;0
division_10_size_0.2;0.8707087923356196;0.1111985228555642;0.1056179895895016;0.48942582337384805;1.0875253047806854;0.8302417494311131;0.1293090337394494;0.08755668819217396;Test;$< 0.2$;$d \leq 2$;0
